3	17	0.000063		6.372281	2.000000	0.627719	6.372281	2.000000	0.627719	
10	35	0.001763		67.840399	20.431729	4.455992	0.629808	0.551640	0.512543	
20	67	0.068887		270.495189	81.223819	17.235222	0.528819	0.512479	0.503097	
30	104	0.309296		608.253606	182.544889	38.538680	0.512543	0.505511	0.501373	
40	133	0.914058		1081.115447	324.394506	68.364136	0.507004	0.503093	0.500772	
50	167	2.009904		1689.080688	506.772618	106.711318	0.504468	0.501978	0.500494	
60	209	4.127974		2432.149321	729.679212	153.580161	0.503097	0.501373	0.500343	
70	244	7.487666		3310.321344	993.114283	208.970642	0.502273	0.501008	0.500252	
80	293	12.445870		4323.596758	1297.077830	272.882751	0.501739	0.500772	0.500193	
90	310	19.424061		5471.975560	1641.569852	345.316483	0.501373	0.500610	0.500152	
100	351	30.204727		6755.457752	2026.590348	426.271836	0.501112	0.500494	0.500123	
120	400	60.544305		9727.732302	2918.216761	613.747401	0.500772	0.500343	0.500086	
150	506	148.260140		15199.419543	4559.619934	958.872886	0.500494	0.500219	0.500055	
